"time","Q_m3pd"
2014-01-01,0
2014-01-02,24859.9154769231
2014-01-03,17401.9408338462
2014-01-04,12181.3585836923
2014-01-05,78974.8462373036
2014-01-06,59612.1903661125
2014-01-07,41728.5332562787
2014-01-08,29209.9732793951
2014-01-09,20446.9812955766
2014-01-10,234883.78169831
2014-01-11,447746.197879325
2014-01-12,313832.457559091
2014-01-13,237437.390353516
2014-01-14,210767.932983667
2014-01-15,148095.428288567
2014-01-16,103666.799801997
2014-01-17,82091.1091626187
2014-01-18,57463.7764138331
2014-01-19,40224.6434896832
2014-01-20,28157.2504427782
2014-01-21,55193.2789245794
2014-01-22,38635.2952472056
2014-01-23,27044.7066730439
2014-01-24,18931.2946711308
2014-01-25,13251.9062697915
2014-01-26,10841.0177822674
2014-01-27,7588.71244758716
2014-01-28,30902.3697239807
2014-01-29,21631.6588067865
2014-01-30,15142.1611647505
2014-01-31,10599.5128153254
2014-02-01,7419.65897072777
2014-02-02,211247.053075511
2014-02-03,662443.387034525
2014-02-04,521703.241324168
2014-02-05,369219.59226889
2014-02-06,258453.714588223
2014-02-07,180917.600211756
2014-02-08,126758.654849439
2014-02-09,88731.0583946076
2014-02-10,62111.7408762253
2014-02-11,43478.2186133577
2014-02-12,544234.590034898
2014-02-13,602276.303801899
2014-02-14,432493.927255383
2014-02-15,313115.907823914
2014-02-16,219181.13547674
2014-02-17,153426.794833718
2014-02-18,107398.756383603
2014-02-19,94938.1674745474
2014-02-20,81344.2472133359
2014-02-21,229784.090975788
2014-02-22,167595.134422386
2014-02-23,128095.841728791
2014-02-24,90222.6209829812
2014-02-25,63155.8346880868
2014-02-26,44209.0842816608
2014-02-27,30946.3589971625
2014-02-28,21662.4512980138
2014-03-01,15163.7159086096
2014-03-02,162880.619392203
2014-03-03,427930.193574542
2014-03-04,299551.13550218
2014-03-05,209685.794851526
2014-03-06,156798.23935682
2014-03-07,171266.821242645
2014-03-08,119886.774869852
2014-03-09,84864.177967959
2014-03-10,68651.0678940113
2014-03-11,72578.8358293856
2014-03-12,57616.2325810557
2014-03-13,40331.362806739
2014-03-14,28231.9539647173
2014-03-15,39730.752813821
2014-03-16,221434.91384869
2014-03-17,183687.342494083
2014-03-18,142429.660839888
2014-03-19,101823.269353097
2014-03-20,78888.6382244598
2014-03-21,67901.5320382228
2014-03-22,67986.1391512791
2014-03-23,69666.1382058954
2014-03-24,49123.1407441268
2014-03-25,154731.30988951
2014-03-26,108311.916922657
2014-03-27,75818.3418458599
2014-03-28,61404.0644194196
2014-03-29,314179.408199713
2014-03-30,228572.856718135
2014-03-31,173169.013099312
2014-04-01,153894.075953736
2014-04-02,149061.660086347
2014-04-03,225423.550323795
2014-04-04,198573.442340412
2014-04-05,153247.263286783
2014-04-06,203961.191039613
2014-04-07,563196.997928866
2014-04-08,422287.981431666
2014-04-09,322944.090484996
2014-04-10,255909.177322098
2014-04-11,218517.126089481
2014-04-12,198677.164492178
2014-04-13,192076.056996392
2014-04-14,477050.306354339
2014-04-15,542391.502550606
2014-04-16,383729.46755903
2014-04-17,276287.082805828
2014-04-18,209694.425472044
2014-04-19,173708.514082362
2014-04-20,143069.998682186
2014-04-21,126955.280884109
2014-04-22,129148.14374899
2014-04-23,111926.531138499
2014-04-24,103908.004495524
2014-04-25,205333.055367167
2014-04-26,183347.082593398
2014-04-27,169280.883258478
2014-04-28,388903.126986132
2014-04-29,866639.85529368
2014-04-30,690301.488343023
2014-05-01,514855.275054831
2014-05-02,391068.083480123
2014-05-03,275527.553008997
2014-05-04,192869.287106298
2014-05-05,155252.071002875
2014-05-06,108676.449702012
2014-05-07,76073.5147914087
2014-05-08,53251.4603539861
2014-05-09,57359.9138193654
2014-05-10,90713.7380735558
2014-05-11,63499.6166514891
2014-05-12,68071.4070790995
2014-05-13,63641.4993553696
