"term","F_value","P_value","Variance_pct"
"waterlevel",2.88,0.005,6.5
"SS",2.9,0.007,6.5
"TN_ugL_epi",2.61,0.011,5.9
"Brown_ugL",2.62,0.016,5.9
"Temp_C_hypo",2.47,0.021,5.6
"secchi",2.49,0.016,5.6
"therm_depth",2.27,0.018,5.1
"RelHum",1.87,0.066,4.2
"TP_ugL_epi",1.62,0.115,3.7
"DO_mgL_epi",1.65,0.1,3.7
"Bluegreen_ugL",1.31,0.222,3
"Shortwave",1.35,0.211,3
"TP_ugL_hypo",1.12,0.331,2.5
"TN_ugL_hypo",0.81,0.585,1.8
"Green_ugL",0.78,0.623,1.8
"oxy_depth",0.76,0.643,1.7
"Mixed_ugL",0.74,0.656,1.7
"Rain",0.75,0.654,1.7
"WindSpeed",0.23,0.998,0.5
