"term","F_value","P_value","Variance_pct"
"TP_ugL_epi",6.71,0.001,14.9
"DO_mgL_epi",5.24,0.001,11.6
"SS",4.64,0.001,10.3
"Temp_C_hypo",3.48,0.003,7.7
"TN_ugL_hypo",3.39,0.003,7.5
"TN_ugL_epi",2.7,0.021,6
"secchi",2.72,0.025,6
"therm_depth",2.19,0.046,4.9
"Brown_ugL",2.2,0.04,4.9
"TP_ugL_hypo",1.69,0.132,3.8
"Green_ugL",1.68,0.132,3.7
"RelHum",1.67,0.117,3.7
"waterlevel",1.62,0.139,3.6
"Bluegreen_ugL",1.47,0.208,3.3
"oxy_depth",1.03,0.402,2.3
"Mixed_ugL",1,0.44,2.2
"Rain",0.77,0.579,1.7
"Shortwave",0.64,0.68,1.4
"WindSpeed",0.26,0.966,0.6
