"Reservoir","DateTime","Taxon","size","sd"
"BVR",2014-04-04,"Daphnia",NA,NA
"BVR",2014-04-04,"Calanoida",NA,NA
"BVR",2014-04-04,"Cyclopoida",0.56,NA
"BVR",2014-04-04,"Nauplii",NA,NA
"BVR",2014-04-04,"Bosmina",0.2,NA
"BVR",2014-04-04,"Ceriodaphnia",NA,NA
"BVR",2014-04-04,"Ascomorpha",NA,NA
"BVR",2014-04-04,"Conochilus",NA,NA
"BVR",2014-04-04,"Keratella",NA,NA
"BVR",2014-04-04,"Trichocerca",NA,NA
"BVR",2014-04-04,"Kellicottia",NA,NA
"BVR",2014-04-04,"Polyarthra",NA,NA
"BVR",2014-04-04,"Rotifera",NA,NA
"BVR",2014-04-04,"Cladocera",0.23,0.0424264068711929
"BVR",2014-04-04,"Copepoda",0.56,NA
"BVR",2014-04-17,"Daphnia",0.49,NA
"BVR",2014-04-17,"Calanoida",0.57,NA
"BVR",2014-04-17,"Cyclopoida",0.54,NA
"BVR",2014-04-17,"Nauplii",NA,NA
"BVR",2014-04-17,"Bosmina",0.25,NA
"BVR",2014-04-17,"Ceriodaphnia",NA,NA
"BVR",2014-04-17,"Ascomorpha",NA,NA
"BVR",2014-04-17,"Conochilus",NA,NA
"BVR",2014-04-17,"Keratella",NA,NA
"BVR",2014-04-17,"Trichocerca",NA,NA
"BVR",2014-04-17,"Kellicottia",NA,NA
"BVR",2014-04-17,"Polyarthra",NA,NA
"BVR",2014-04-17,"Rotifera",NA,NA
"BVR",2014-04-17,"Cladocera",0.326666666666667,0.141539158303748
"BVR",2014-04-17,"Copepoda",0.555,0.0212132034355964
"BVR",2014-04-30,"Daphnia",0.58,0.14142135623731
"BVR",2014-04-30,"Calanoida",0.65,NA
"BVR",2014-04-30,"Cyclopoida",0.43,NA
"BVR",2014-04-30,"Nauplii",NA,NA
"BVR",2014-04-30,"Bosmina",0.26,NA
"BVR",2014-04-30,"Ceriodaphnia",NA,NA
"BVR",2014-04-30,"Ascomorpha",NA,NA
"BVR",2014-04-30,"Conochilus",NA,NA
"BVR",2014-04-30,"Keratella",NA,NA
"BVR",2014-04-30,"Trichocerca",NA,NA
"BVR",2014-04-30,"Kellicottia",NA,NA
"BVR",2014-04-30,"Polyarthra",NA,NA
"BVR",2014-04-30,"Rotifera",NA,NA
"BVR",2014-04-30,"Cladocera",0.4325,0.189978068909721
"BVR",2014-04-30,"Copepoda",0.54,0.15556349186104
"BVR",2014-05-14,"Daphnia",0.67,NA
"BVR",2014-05-14,"Calanoida",0.45,NA
"BVR",2014-05-14,"Cyclopoida",0.62,NA
"BVR",2014-05-14,"Nauplii",NA,NA
"BVR",2014-05-14,"Bosmina",0.29,NA
"BVR",2014-05-14,"Ceriodaphnia",NA,NA
"BVR",2014-05-14,"Ascomorpha",NA,NA
"BVR",2014-05-14,"Conochilus",NA,NA
"BVR",2014-05-14,"Keratella",NA,NA
"BVR",2014-05-14,"Trichocerca",NA,NA
"BVR",2014-05-14,"Kellicottia",NA,NA
"BVR",2014-05-14,"Polyarthra",NA,NA
"BVR",2014-05-14,"Rotifera",NA,NA
"BVR",2014-05-14,"Cladocera",0.393333333333333,0.24214320831552
"BVR",2014-05-14,"Copepoda",0.535,0.120208152801713
"BVR",2014-05-29,"Daphnia",0.43,NA
