"term","F_value","P_value","Variance_pct"
"waterlevel",2.79,0.004,6.8
"TN_ugL_epi",2.58,0.005,6.3
"Brown_ugL",2.42,0.01,5.9
"Temp_C_hypo",2.2,0.02,5.4
"SS",2.21,0.021,5.4
"secchi",1.88,0.041,4.6
"therm_depth",1.82,0.039,4.5
"DO_mgL_epi",1.74,0.051,4.3
"Bluegreen_ugL",1.68,0.064,4.1
"RelHum",1.53,0.117,3.7
"TP_ugL_epi",1.48,0.121,3.6
"TP_ugL_hypo",1.14,0.294,2.8
"Shortwave",1.15,0.303,2.8
"Mixed_ugL",0.89,0.528,2.2
"TN_ugL_hypo",0.85,0.578,2.1
"Rain",0.77,0.665,1.9
"Green_ugL",0.71,0.768,1.7
"oxy_depth",0.66,0.829,1.6
"WindSpeed",0.36,0.994,0.9
