"month","year","TN_ugL_epi","TN_ugL_hypo","TP_ugL_epi","TP_ugL_hypo","anoxic_depth","Temp_C_epi","Temp_C_hypo","waterlevel","diff","SS","BF"
5,2014,200.5,298.5,7.75,16.9,10.0294117647059,21.7513245901639,6.73443518518518,12.9182795698925,1.68661290322581,79.6298537289763,0.00765473016285637
5,2015,345.333333333333,1390.66666666667,22,70.6666666666667,7.00746268656716,21.7774302752294,7.50057746478873,11.2311827956989,0.0996774193548386,66.6220669920214,0.00610002684791482
5,2016,241.783333333333,442.5,13.0833333333333,29.9166666666667,8.1,20.2840887978142,7.75264936708861,11.4857142857143,0.231950844854074,51.1005802263501,0.00441228353561114
5,2019,177,1138.5,2.775,26.15,8.5,22.8666666666667,8.13333333333333,11.2064516129032,0.421689708141322,67.8071788114468,0.00794586123345102
5,2020,222,640,20.3,18.7,8.3,14.8,8.2,11.5177419354839,1.0690782315467,9.91764591719525,0.00268452398415322
5,2021,177.333333333333,350,15.1,18.1666666666667,8,17.3524539267016,8.46811428571429,11.1093703709936,0.412582961844986,37.6040181098202,0.00550317621834882
6,2014,184.2,1000.3,8.96666666666667,33.85,8,25.5985323232323,6.831425,12.4508080808081,1.68661290322581,122.592150615952,0.0148508259129639
6,2015,340.818181818182,1345.09090909091,14.0545454545455,48.1818181818182,5.74719101123596,27.3505899230231,7.81136469026549,11.1631111111111,0.0996774193548386,105.605956266625,0.0108357473588535
6,2016,191.8,849.2,11.5625,40.65,7.93296089385475,24.009356547619,7.84695857988166,11.31,0.231950844854074,77.489612843826,0.0105420184305122
6,2019,138.3,1832.5,3.96,48.15,7.16666666666667,23.5210525,8.36808181818182,11.125,0.421689708141322,77.0917607206178,0.00935741657960744
6,2020,192.5,1084.5,13.1,39.1,6.75510204081633,21.6372616564417,9.18224920634921,12.0351405418782,1.0690782315467,66.0483960880992,0.00134863592302712
6,2021,175,743.5,8.05,27.75,6.25,24.8205510204082,8.80435477031802,11.1222501092533,0.412582961844986,84.9886145725665,0.0145209483287475
7,2014,253.85,1477.16,13.1,45.32,4.81465517241379,25.8208668674699,6.99165866666667,11.8381964809384,1.68661290322581,106.944332839814,0.0151115980045213
7,2015,285.68,1360.98,11.86,42.82,4.10267857142857,26.1420172413793,7.76380675675676,11.248064516129,0.0996774193548386,98.4716401265005,0.0100504977401909
7,2016,238.74,910.9,12.36,29.68,5.7,28.2591807079646,8.265165,11.2634408602151,0.231950844854074,107.625742482165,0.00993610034549205
7,2019,208.2,2277,3.6,50.175,6.2,26.969423024055,8.5536934126258,11.0590838709677,0.421689708141322,95.2213420743148,0.0122598834861877
7,2020,257.6,1450.9,12.56,53.22,5.29237288135593,27.4415340690979,9.45888218085106,11.7129143813606,1.0690782315467,102.274022131566,0.00484303602410613
7,2021,241,975,13.6333333333333,32.8,4.26744186046512,27.0708496855346,8.96251105263158,10.9967330635457,0.412582961844986,92.6711427429749,0.0124095557399631
8,2014,166.7,1009.2,8.5,21,4.5,21.6071586206897,7.12931,11.3685483870968,1.68661290322581,63.3349897670019,0.0133213980850027
8,2015,225.5,1594.6,9.9,30.9,5,25.9,8.3,11.1483870967742,0.0996774193548386,65.6018707635155,0.0100169855040746
8,2016,256.6,1307.88,14.84,30.24,4,26.7724264248705,8.47402916666667,11.2537634408602,0.231950844854074,90.944096355112,0.00946855095731839
8,2019,193.7,2192,8.46,27.1333333333333,4.375,27.0649319587629,8.79258585209003,11.0198156682028,0.421689708141322,97.0480477746447,0.0119162887563678
8,2020,271.5,2173.33333333333,15.025,31.5666666666667,3.375,26.8089731343284,9.80649147640792,11.1071991659522,1.0690782315467,93.6124803318203,0.0127479314732135
8,2021,361,1590,17.8,24.95,4,26.65,9.4,10.798510349561,0.412582961844986,56.3199600961263,0.00495804814198509
9,2014,172,1735,9,30.2,4,22.6261486842105,7.31638709677419,11.2316666666667,1.68661290322581,70.790278723671,0.00855967991110739
9,2015,266.8,1355.65,13.45,23.6,4.98837209302326,24.5423746031746,8.18439047619048,11.1541666666667,0.0996774193548386,67.125445164412,0.011228165496379
9,2016,256.133333333333,1346.66666666667,17.6,18.7666666666667,5.11827956989247,24.1796034050179,8.66892426470588,11.4388888888889,0.231950844854074,64.1981764912077,0.00995876621551914
9,2019,226.333333333333,2555,21,42.35,4.5,25.2219216748768,9.11545535714286,10.7847619047619,0.421689708141322,54.6442059301579,0.00611237292547067
9,2020,356.5,2300,22.25,23,3.75,24.7566572580645,9.85178775510204,10.9660623103315,1.0690782315467,70.9241119805183,0.0131364762890286
9,2021,400,2022,20.35,33.75,5,23.9,9.75,10.7096671474083,0.412582961844986,47.3310267775542,0.0115541571366279
