"variable","min","max","pct_missing"
"TN_ugL_epi",143.1,2433,20.22
"TN_ugL_hypo",45,453,19.1
"TP_ugL_epi",4.55,56.1,20.22
"TP_ugL_hypo",1.2,27.7,19.1
"Temp_C_epi",10.51,27.6,13.48
"Temp_C_hypo",8.42,17.08,13.48
"DO_mgL_epi",3.69,11.84,14.61
"waterlevel",9.36,13.5,0
"therm_depth",0.55,8.95,13.48
"oxy_depth",0.25,10.5,13.48
"SS",0.09,137.11,8.99
"Green_ugL",0.91,14.24,35.96
"Bluegreen_ugL",0.01,12.19,35.96
"Brown_ugL",0.48,15.42,35.96
"Mixed_ugL",0,8.06,35.96
"Total_ugL",2.12,29.32,35.96
"secchi",0.9,4.7,17.98
"AirTemp",1.62,30.09,0
"Shortwave",59.41,338.36,0
"Longwave",213.24,421.82,0
"RelHum",44.29,97.88,0
"WindSpeed",1.45,8.21,0
"Rain",0,0.05,0
