"NMDS1","NMDS2","NMDS3","pvals","env"
-0.1667,0.1674,-0.3412,0.001,"Green_ugL"
-0.2186,0.0898,-0.3804,0.001,"Bluegreen_ugL"
-0.092,-0.2931,-0.4376,0.001,"Brown_ugL"
0.2741,0.005,0.4897,0.001,"Secchi depth"
-0.0067,-0.149,0.4032,0.002,"epi DO"
-0.1349,0.0197,-0.3601,0.004,"hypo temp"
-0.2034,0.0306,-0.3121,0.007,"hypo TN"
-0.1721,-0.0481,-0.3275,0.007,"hypo TP"
-0.1463,0.248,0.1774,0.018,"Schmidt stability"
0.0099,0.2716,-0.2065,0.02,"Mixed_ugL"
-0.2297,0.2037,0.0328,0.043,"epi temp"
0.0833,-0.0698,0.2713,0.08,"oxycline depth"
-0.1344,0.2187,0.0668,0.102,"longwave"
0.0441,0.2033,0.159,0.116,"epi TP"
-0.0709,0.2394,0.0201,0.154,"air temp"
0.0041,-0.0149,0.2221,0.253,"water level"
-0.1165,-0.1794,0.0517,0.27,"wind speed"
-0.0649,0.0323,-0.1884,0.357,"epi TN"
0.0048,0.1113,-0.1063,0.579,"rain"
0.084,0.0118,-0.1176,0.639,"thermocline depth"
0.0509,0.0661,0.0159,0.901,"relative humidity"
