"NMDS1","NMDS2","pvals","env"
-0.1593,-0.3132,0.009,"Brown_ugL"
0.2943,0.0545,0.016,"Secchi depth"
-0.2244,0.209,0.021,"epi temp"
-0.1097,0.2668,0.031,"Schmidt stability"
-0.0327,0.2609,0.042,"Mixed_ugL"
-0.1207,0.2261,0.059,"longwave"
-0.0665,0.2406,0.075,"air temp"
-0.2386,0.0329,0.08,"Bluegreen_ugL"
-0.2043,0.1076,0.107,"Green_ugL"
0.0691,0.2054,0.142,"epi TP"
-0.2124,-0.008,0.168,"hypo TN"
-0.1116,-0.1811,0.168,"wind speed"
-0.1896,-0.0727,0.189,"hypo TP"
-0.1625,-0.0214,0.319,"hypo temp"
0.0706,-0.0942,0.552,"epi DO"
0.1121,-0.0284,0.572,"oxycline depth"
-0.0172,0.1039,0.619,"rain"
-0.0815,0.0063,0.762,"epi TN"
0.0518,0.0654,0.763,"relative humidity"
0.0564,-0.0032,0.88,"thermocline depth"
0.039,0.0114,0.941,"water level"
