"NMDS1","NMDS2","NMDS3","pvals","env"
-0.9116,-0.1406,0.3708,0.001,"water level"
-0.835,0.3316,0.3992,0.015,"Schmidt stability"
-0.8882,0.3616,0.0613,0.053,"Secchi depth"
-0.5016,0.7703,-0.1324,0.096,"epi temp"
0.7063,-0.525,-0.2752,0.103,"hypo TP"
0.8371,-0.1081,-0.1459,0.194,"Brown_ugL"
-0.6012,0.5707,0.2449,0.203,"air temp"
-0.0753,0.826,0.0799,0.212,"epi TN"
0.7673,-0.023,-0.0345,0.343,"hypo temp"
0.7425,-0.1249,-0.2858,0.354,"hypo TN"
0.5976,0.2968,0.3352,0.364,"Bluegreen_ugL"
-0.1614,0.5278,0.4325,0.493,"wind speed"
0.2086,0.5472,0.3551,0.524,"Green_ugL"
-0.5422,0.2136,0.3392,0.547,"longwave"
-0.3001,-0.6039,-0.0935,0.55,"relative humidity"
0.4512,-0.4687,-0.1247,0.573,"thermocline depth"
-0.4344,0.0459,-0.4612,0.628,"epi TP"
-0.4005,0.4546,-0.0125,0.688,"Mixed_ugL"
0.1646,-0.3386,-0.0801,0.872,"rain"
0.0161,-0.069,-0.3323,0.935,"oxycline depth"
-0.1973,0.2833,-0.1986,0.969,"epi DO"
