"Taxon","frequency_occurrence","percent_contribution"
"Nauplii",98.9,26.18
"Kellicottia",78.7,21.83
"Keratella",97.8,16.3
"Conochilus",65.2,11
"Cyclopoida",98.9,8.13
"Polyarthra",75.3,3.87
"Ascomorpha",33.7,2.18
"Bosmina",48.3,1.98
"Daphnia",84.3,1.98
"Gastropus",33.7,1.9
"Ceriodaphnia",40.4,1
"Conochiloides",27,0.97
"Calanoida",51.7,0.82
"Trichocerca",40.4,0.65
"Asplanchna",15.7,0.59
"Synchaeta",12.4,0.25
"Chydorus",15.7,0.15
"Collotheca",7.9,0.08
"Lecane",10.1,0.07
"Monostyla",4.5,0.03
"Lepadella",2.2,0.02
"Diaphanosoma",5.6,0.01
"Hexarthra",1.1,0
